LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
c.brock;Berlin Office;;;
e.charles;Berlin Office;Finance Department;;
n.adcock;Berlin Office;Finance Department;Accounts Department;
v.cann;Berlin Office;Finance Department;Auditors;
n.morris;Berlin Office;IT Department;;
l.belcher;Berlin Office;IT Department;Information Security Service;
g.alington;Berlin Office;IT Department;Software Support Service;
a.blake;Berlin Office;IT Department;Technical Support Service;
i.bedingfield;Berlin Office;Legal Department;;
c.brock;Berlin Office;Office Administration;;
s.boddy;Berlin Office;Production Department;;
l.mayall;Berlin Office;Production Department;Animation Studio;
l.bowen;Berlin Office;Production Department;Design Team;
o.armstead;Berlin Office;Production Department;Production Design Division;
a.chiles;Berlin Office;Production Department;Recording Studio;
n.aitchison;Berlin Office;Production Department;Software Development;
r.carrier;Berlin Office;Production Department;Technology Support;
g.isitt;Berlin Office;Quality Control Department;;
v.mallory;Berlin Office;Quality Control Department;Expert Comission;
o.acres;Berlin Office;Quality Control Department;Production Control Division;
t.coley;Berlin Office;Quality Control Department;Standartization Division;
a.bigge;Berlin Office;Security Department;;
a.adair;Berlin Office;Supply Department;;
m.atkinson;;;;
d.butterfield;London Office;;;
a.twynam;London Office;Analytics Department;;
l.gorsuch;London Office;Client Service Department;;
r.appleby;London Office;Client Service Department;Call Centre;
a.ackerman;London Office;Client Service Department;Client Support Team;
t.grover;London Office;Client Service Department;Transaction Centre;
a.tharp;London Office;Directorate;;
f.alder;London Office;Finance Department;;
z.cass;London Office;Finance Department;Accounts Department;
r.blatchford;London Office;Finance Department;Sales Department;
n.bessie;London Office;IT Department;;
o.coxon;London Office;IT Department;Business Systems Department;
r.cresswell;London Office;IT Department;New Superb Secret Technology Department;
.astill;London Office;IT Department;System Solutions Department;
j.clinton;London Office;Legal Department;;
j.williamson;London Office;Marketing Department;;
n.white;London Office;Marketing Department;Advertising;
g.scarisbrick;London Office;Marketing Department;Advertising;Web Advertising Team
n.clowes;London Office;Marketing Department;e-Marketing Team;
o.broderick;London Office;Marketing Department;Press Relations;
n.branch;London Office;Marketing Department;Printing Division;
a.cheeseman;London Office;Security Department;;
s.clemons;New York Office;;;
s.charlesworth;New York Office;Business Development Department;;
m.benn;New York Office;Business Development Department;Analytics Division;
t.ainscough;New York Office;Business Development Department;Expert Comission;
a.chorley;New York Office;Business Development Department;Strategic Planning Team;
d.bushell;New York Office;Client Service Department;;
m.osborn;New York Office;Client Service Department;Call Centre;
e.blackwood;New York Office;Client Service Department;Client Support Team;
a.legum;New York Office;Finance Department;;
a.colegrove;New York Office;Finance Department;Accounts Department;
a.patmore;New York Office;Finance Department;Financial Planning Division;
o.hudson;New York Office;Information Support Division;;
k.aldous;New York Office;Legal Department;;
r.armistead;New York Office;Marketing Department;;
a.allerton;New York Office;Marketing Department;Advertising;
j.crouch;New York Office;Marketing Department;PR Department;
m.howard;New York Office;Office Administration;;
j.brewer;New York Office;Security Department;;
v.acland;Paris Office;;;
t.yelling;Paris Office;Finance Department;;
a.holliday;Paris Office;Finance Department;Accounts Department;
z.paulson;Paris Office;Finance Department;Auditors;
p.janes;Paris Office;IT Department;;
h.brackett;Paris Office;IT Department;Information Security Service;
a.deal;Paris Office;IT Department;Software Support Service;
v.barefoot;Paris Office;IT Department;Technical Support Service;
b.bulwer-lytton;Paris Office;Legal Department;;
h.knight;Paris Office;Office Administration;;
m.kershaw;Paris Office;Production Department;;
e.gentner;Paris Office;Production Department;Audio and Video Production;
v.clarkson;Paris Office;Production Department;Production Design Division;
a.briggs;Paris Office;Production Department;Software Development;
h.whittingham;Paris Office;Production Department;Technology Support;
e.tibbetts;Paris Office;Quality Control Department;;
n.scroggs;Paris Office;Security Department;;
